feature,importance
vote_count,0.16916408379142245
budget,0.13067921102143504
release_year,0.11302968221028845
vote_average,0.10266906633599665
popularity,0.10231087386633718
runtime,0.09477936143308612
release_month,0.08177953124758695
genre_drama,0.017760655164880144
genre_action,0.017336626127152536
genre_comedy,0.017219537852615423
genre_thriller,0.014553572997751008
genre_adventure,0.01435738918567763
genre_crime,0.012398880878296957
genre_romance,0.01218995435949626
lang_en,0.012180835975989497
genre_science_fiction,0.011153512006467631
genre_fantasy,0.010846804278851326
genre_family,0.010595822578432538
genre_horror,0.010395198279121089
genre_animation,0.009789414045579918
lang_others,0.009339721714325013
genre_mystery,0.00882174127738053
genre_history,0.006738490443544016
genre_war,0.004333616334526662
genre_music,0.003004814811957738
genre_western,0.001973079983195196
genre_documentary,0.0005297651757874356
genre_tv_movie,6.875662281865502e-05
