feature,importance
vote_count,0.0675829
genre_animation,0.06247153
budget,0.053929206
genre_family,0.0520047
genre_comedy,0.04472619
genre_adventure,0.0432796
lang_en,0.04166355
genre_music,0.039982714
lang_others,0.038108
genre_romance,0.037039332
genre_action,0.036370996
release_year,0.035896864
genre_drama,0.03341885
genre_mystery,0.03199655
genre_science_fiction,0.031973314
genre_crime,0.031941462
genre_history,0.031792633
vote_average,0.03158478
runtime,0.031477023
genre_fantasy,0.031327076
release_month,0.030773737
genre_horror,0.030447442
genre_war,0.029389314
popularity,0.029234365
genre_thriller,0.02839375
genre_documentary,0.022984106
genre_western,0.020210082
genre_tv_movie,0.0
