feature,importance
vote_count,0.2381556
budget,0.20698746
genre_adventure,0.09787591
popularity,0.06118545
genre_animation,0.03898899
genre_action,0.030732853
genre_family,0.027802711
genre_science_fiction,0.027138814
release_year,0.024813594
lang_en,0.023203844
vote_average,0.023148568
genre_war,0.023021203
genre_comedy,0.022588244
runtime,0.0205192
genre_drama,0.016980322
release_month,0.015841283
genre_fantasy,0.015654681
genre_music,0.015052219
genre_thriller,0.014838357
genre_mystery,0.014793857
genre_crime,0.012932615
genre_romance,0.012662776
genre_horror,0.0070749247
genre_western,0.0029713055
genre_history,0.0025271538
genre_tv_movie,0.0013239342
genre_documentary,0.0011840629
lang_others,0.0
